TID;OMRÅDE;CIVILSTAND;INDHOLD
2020K4;København;I alt;637936
2020K4;København;Ugift;417782
2020K4;Aalborg;I alt;219310
2020K4;Aalborg;Ugift;120226
2020K4;Esbjerg;I alt;115498
2020K4;Esbjerg;Ugift;55161
2020K4;Odense;I alt;205881
2020K4;Odense;Ugift;113639
2020K4;Aarhus;I alt;353445
2020K4;Aarhus;Ugift;211863
